market_id,market,countryiso3,admin1,admin2,latitude,longitude
10657,Gummi,NGA,Zamfara,Gummi,11.93,5.14
10658,Batsari,NGA,Katsina,Batsari,12.76,7.25
10659,Safana,NGA,Katsina,Safana,12.41,7.41
10660,Dutsin Ma,NGA,Katsina,Dutsinma,12.44,7.49
10661,Kurfi,NGA,Katsina,Kurfi,12.67,7.48
10662,Dan Musa,NGA,Katsina,Danmusa,12.26,7.33
10663,Katsina,NGA,Katsina,Katsina,12.98,7.62
10664,Kankara,NGA,Katsina,Kankara,11.93,7.41
10665,Matazu,NGA,Katsina,Matazu,12.24,7.67
10666,Musawa,NGA,Katsina,Musawa,12.13,7.67
10667,Kafur,NGA,Katsina,Kafur,11.65,7.65
10668,Mubi North,NGA,Adamawa,Hong,10.38,13.31
10669,"Mubi South,",NGA,Adamawa,Mubi South,10.19,13.34
10670,Gombi,NGA,Adamawa,Girie,10.17,12.74
10714,Nangere,NGA,Yobe,Nangere,11.86,11.07
10900,Jimeta,NGA,Adamawa,Demsa,9.28,12.46
10901,Girei,NGA,Adamawa,Gombi,9.43,12.48
10902,Yola,NGA,Adamawa,Demsa,9.25,12.44
10943,Ngelzarma,NGA,Yobe,Fune,11.69,11.62
